,Nama,Comentar,Date
1,Dan Stapleton,  It's one of the best games available today.Read full review,14-Nov-14
2,Chris Thursten,  A sandbox of extraordinary scope created with a masterful attention to detail. A patchy campaign doesn't spoil this wonderful evocative city.Read full review,20-Apr-15
3,Rob Pearson,  This is how you do a next-gen remaster. Rockstar has pulled out all the stops to bring GTA V up to speed on PS4 and Xbox One. Beautiful immersive essential - it begs to be played all over again.Read full review,27-Nov-14
4,David Jenkins,  An incredibly ambitious upgrade that not only improves the visuals and gameplay but through the new first person view offers a new way to play the best GTA ever.Read full review,16-Nov-14
5,Andrew Reiner,  Playing the game again from the first-person perspective is a blast. It's also become my perspective of choice for Grand Theft Auto OnlineRead full review,21-Nov-14
6,Mark Walton,  GTA V remains a benchmark game and its graphical improvements are hugely impressive but it's the addition of a first-person mode that transforms it into a very different beast.Read full review,16-Nov-14
7,Stephen Totilo, 2013An improvement to the GTA formula set on the densest most interesting best-loooking piece of terrain Rockstar has ever crafted.Read full review,16-Sep-13
8,Mike Williams,  Rockstar Games revisits last year's heist-filled romp with a new version on PS4 Xbox One and PC. With the new power the developer has added more depth and life to the world of Los Santos. It's the same game but the new visual effects and first-person mode provides a strong experience. It's not completely worth a double-dip if you tore through the original GTA V but it's definitely worth a second look.Read full review,16-Nov-14
9,Daniel Bischoff,  Grand Theft Auto V is one of the most expansive and impressive games I've ever played.Read full review,17-Nov-14
10,Jorge S Fernandez,"  Immense in all aspects the plot the size of its open world and of course its technical quality that keeps the 60fps practically constant the zenith of the saga and the ""sandbox"". Review in Spanish | Read full review",24-Apr-15
11,Fabio Bortolotti,  The ultimate version of the best GTA since Vice City with bigger online graphics worthy of new consoles and an intriguing new perspective on the gaming world. Review in Italian | Read full review,17-Nov-14
12,Jose Altozano,  GTA V remains one of the most entertaining games to have and a playable and technical marvel. Review in Spanish | Read full review,16-Apr-15
13,Mick Fraser,  This enhanced edition of Grand Theft Auto V seems determined to make you forget it was ever last gen - and it will probably succeed too.Read full review,16-Nov-14
14,William Schwartz,  The visual upgrades in GTA V take what was an impressive game on 8-year old hardware and makes it shine bright on the new consoles.  The introduction of first person perspective and the many refinements to the game make it a trip worth taking whether you've been there and done that or not.Read full review,18-Nov-14
15,VideoGamer.com Staff,  A beautiful intelligent remaster that is worth double-dipping for.Read full review,19-Nov-14
16,Graham Smith,  The structure of the game helps but GTAV's singleplayer is not simply a case of making the best of a bad situation. I've been surprised over the past week how much I've enjoyed revisiting these storylines and missions after first playing them on XBox 360 at release.Read full review,17-Apr-15
17,Chad Sapieha,  The current-generation edition of Rockstar's crime saga looks better than ever and offers more to do see and hearRead full review,16-Nov-14
18,Jim Sterling,  Well I already reviewedÿGTA V back in the day I loved it back then and I love it now. Its attempts at clever humor can be embarrassingly misjudged its content is often alarming and I think those who point out the game's problematic elements are perfectly within their right to do so and they're very rarely wrong.Read full review,17-Nov-14
19,Carl Phillips,  Grand Theft Auto V on the PC takes an already amazing game and makes it better. Every aspect just seems sharper and better than previous releases. This is how all ports should be handled.Read full review,21-Apr-15
20,David Roberts,  While the narrative leaves a bit to be desired Grand Theft Auto V on the PlayStation 4 is a technical marvel a masterclass in world building and absolutely worth exploring again.Read full review,17-Nov-14
21,Andy Kelly,  Stunning landscapes with dizzying visual detail and a tool that lets you record and edit in-game footage and upload it to YouTube puts this open-world game lightyears ahead of its competitorsRead full review,15-Apr-15
22,Trevor Houston,  Grand Theft Auto V isn't exactly a next gen masterpiece but it is undeniably the undisputed king of open world games. If there is anyone out there that hasn't yet experienced GTA V you owe it to yourself to give it a spin. For those of you who have already taken the journey with Franklin Michael and Trevor there is still plenty of reasons to head back to Los Santos all over again. Trust me this GTA received far more than just a fresh coat of paint.Read full review,19-Nov-14
23,Liam Martin,  While the single-player story campaign remains the same the world in which it takes place is more beautiful than ever so you'll be astounded by the sights all over again.,17-Nov-14
24,Kyle Prahl,  The first-person camera mode does more than change the flow and feeling of play. In Grand Theft Auto V on PS4 every movement and action carries more excitement and meaning. Alongside visual upgrades and content additions this version of Rockstar's masterpiece is can't-miss gaming.Read full review,24-Nov-14
25,Robert Ramsey,  It comes as no surprise that Grand Theft Auto V on the PS4 is the same great game that millions of us have already played but thoughtful additions both big and small mean that it's easily the definitive edition of Rockstar's stellar creation. Los Santos feels more alive than ever and whether you're a frequent visitor or not we'd recommend booking a seat on the next-gen flight if you haven't already.Read full review,24-Nov-14
26,Cyril Lachel,  No matter if you're new to Grand Theft Auto V or a returning player there's more than enough in this next-generation port to keep you satisfied. The first-person perspective manages to make a year-old game feel new again and the changes made to the graphics gameplay and online mode are substantial. One of 2013's best games is made even better on the PlayStation 4.Read full review,16-Nov-14
27,Ken McKown,  With all the games vying for your dollars this holiday season GTA V definitely delivers an amazing package well worth exploring (again).Read full review,20-Nov-14
